Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Barcelona - Eibar 5:0;Spain. LaLiga;2020-02-22;CF;92;100;58;4;0;5;5;1,23;54;35;5;0;0;0;12;7;27;13;0;0;1;24;3;3;3;0;0;3;2;2;2;0;0;0;0;0;0;0;22;9;7;1;8;2;10;3;0;0;10;6;10;3;41;20;11;4;3;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Getafe 2:1;Spain. LaLiga;2020-02-15;RWF;97;88;58;0;1;6;2;0,26;41;32;1;0;0;0;14;9;30;16;0;0;1;15;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;29;16;3;1;5;4;5;2;0,29;0;6;4;3;2;31;15;11;5;4;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 2:3;Spain. LaLiga;2020-02-09;CF;97;97;71;0;2;4;3;0,6;62;54;5;3;2;1;6;3;18;7;0;0;1;11;1;2;2;0;0;1;1;1;0;0;0;0;0;0;0;5;16;6;7;2;5;1;2;1;0,51;0;19;16;5;5;52;21;18;13;13;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Levante 2:1;Spain. LaLiga;2020-02-02;CF, RWF;94;109;77;0;2;10;6;1,65;57;48;1;0;3;0;19;14;32;18;1;0;0;14;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;4;27;18;7;0;10;1;1;1;0,4;0;17;14;10;7;53;18;13;11;11;0;0;0;0;0;0;0;0;0;0;0
Valencia - Barcelona 2:0;Spain. LaLiga;2020-01-25;CF;96;104;70;0;0;11;4;0,98;63;56;5;3;0;0;6;4;22;10;0;0;0;12;0;1;1;0;0;0;0;4;2;0;0;0;0;0;0;1;18;8;4;0;3;4;4;2;0,12;0;8;8;8;7;63;23;19;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Granada 1:0;Spain. LaLiga;2020-01-19;CF;93;138;99;1;0;9;2;0,49;91;76;0;0;3;1;12;8;25;14;0;0;0;15;0;3;3;0;0;3;2;2;1;2;1;0;1;0;0;2;20;11;6;0;2;5;6;2;0,15;0;9;8;10;6;89;23;16;21;20;0;0;0;0;0;0;0;0;0;0;0
Espanyol - Barcelona 2:2;Spain. LaLiga;2020-01-04;RWF, CF;96;89;56;0;0;6;4;0,57;42;35;3;1;1;0;18;7;28;11;2;2;3;13;3;2;1;0;0;0;0;4;1;0;0;1;0;0;0;1;22;8;6;0;5;1;3;1;0,31;0;7;6;4;2;41;14;11;8;7;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo Alavés 4:1;Spain. LaLiga;2019-12-21;RWF;96;111;61;1;0;4;1;0,11;70;52;6;2;0;0;10;3;29;8;0;0;1;16;1;2;1;0;0;2;0;4;2;0;0;0;1;0;0;0;23;6;1;2;10;1;12;1;0;1;8;7;13;4;62;24;15;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Madrid 0:0;Spain. LaLiga;2019-12-18;RWF;96;84;54;0;0;2;1;0,18;41;34;5;3;0;0;8;6;27;13;0;0;1;9;2;3;1;0;0;6;2;2;0;0;0;0;0;0;0;1;19;11;6;0;8;3;4;3;0,33;0;8;6;3;3;35;13;11;4;4;0;0;0;0;0;0;0;0;0;0;0
Real Sociedad - Barcelona 2:2;Spain. LaLiga;2019-12-14;RWF, CF;94;63;42;0;1;1;0;0,09;38;34;2;1;1;0;9;2;16;7;2;2;1;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;12;4;5;0;3;0;2;0;0,39;0;5;4;2;1;33;11;10;5;5;0;0;0;0;0;0;0;0;0;0;0
